"start range,end range,street name,regulation text,regulation href"
"1600,1699,'S 8TH ST','4 Inch Rule',4inchRule"
"1700,1799,'S 8TH ST','4 Inch Rule',4inchRule"
"1800,1899,'S 8TH ST','4 Inch Rule',4inchRule"
"1900,1999,'S 8TH ST','4 Inch Rule',4inchRule"
"2000,2099,'S 8TH ST','4 Inch Rule',4inchRule"
"2300,2399,'S 9TH PL','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2400,2499,'S 9TH PL','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2500,2599,'S 9TH PL','Non Winter Exception to Alternate Side Night Parking',alternateException"
"700,799,'N 9TH ST','No Winter Night Parking',noWinter"
"800,899,'N 9TH ST','No Winter Night Parking',noWinter"
"900,999,'N 9TH ST','No Winter Night Parking',noWinter"
"500,599,'S 9TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"600,699,'S 9TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"700,799,'S 9TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"800,899,'S 9TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"900,999,'S 9TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1000,1099,'S 9TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1100,1199,'S 9TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1200,1299,'S 9TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1300,1399,'S 9TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2300,2399,'S 9TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2400,2499,'S 9TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1400,1499,'S 9TH ST','4 Inch Rule',4inchRule"
"1500,1599,'S 9TH ST','4 Inch Rule',4inchRule"
"1600,1699,'S 9TH ST','4 Inch Rule',4inchRule"
"1700,1799,'S 9TH ST','4 Inch Rule',4inchRule"
"1800,1899,'S 9TH ST','4 Inch Rule',4inchRule"
"1900,1949,'S 9TH ST','4 Inch Rule',4inchRule"
"2200,2299,'S 10TH PL','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1400,1499,'S 10TH ST','4 Inch Rule',4inchRule"
"1500,1599,'S 10TH ST','4 Inch Rule',4inchRule"
"1600,1699,'S 10TH ST','4 Inch Rule',4inchRule"
"1700,1799,'S 10TH ST','4 Inch Rule',4inchRule"
"1800,1899,'S 10TH ST','4 Inch Rule',4inchRule"
"1900,1999,'S 10TH ST','4 Inch Rule',4inchRule"
"600,699,'S 10TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"700,799,'S 10TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"800,899,'S 10TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"900,999,'S 10TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1000,1099,'S 10TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1100,1199,'S 10TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1200,1299,'S 10TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1300,1399,'S 10TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2000,2099,'S 10TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2100,2199,'S 10TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2200,2299,'S 10TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2300,2399,'S 10TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2400,2499,'S 10TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2500,2599,'S 10TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2600,2699,'S 10TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"600,699,'N 11TH ST','No Winter Night Parking',noWinter"
"700,799,'N 11TH ST','No Winter Night Parking',noWinter"
"800,899,'N 11TH ST','No Winter Night Parking',noWinter"
"900,999,'N 11TH ST','No Winter Night Parking',noWinter"
"2300,2399,'S 11TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
